,stmt_date,stmt_desc,stmt_exp
491,11/22/17,FRYS FUEL 7077,56.49
492,11/24/17,SAMSCLUB 6608 GAS,17.59
493,11/30/17,SAMS CLUB 6608,45.33
494,12/09/17,SAMSCLUB 4732,33.35
495,12/20/17,FRYS FUEL 7006,40.34
496,01/26/17,OREILLY AUTO 2791,3.27
497,02/04/17,OREILLY AUTO 2791,12.00
498,02/15/17,OREILLY AUTO 2791,25.11
499,02/16/17,SONS AUTOMOTIVE SERVIC,76.09
500,03/18/17,ALS RV SERVICE SUPPLY,126.78
501,03/30/17,GALPIN FORD- DEWEY,22.27
502,04/03/17,SONS AUTOMOTIVE SERVIC,299.71
503,04/06/17,ALS RV SERVICE SUPPLY,14.94
504,05/05/17,GALPIN FORD- PRESCOTT,23.08
505,05/13/17,DISCOUNT-TIRE-CO AZP-1,363.23
506,05/13/17,OREILLY AUTO 2791,17.46
507,05/17/17,OREILLY AUTO 2791,-6.02
508,09/13/17,LHM TOYOTA PEORIA,53.48
509,10/07/17,GALPIN FORD- DEWEY,23.26
510,11/11/17,OREILLY AUTO 2791,236.95
511,11/13/17,GALPIN FORD- DEWEY,24.98
512,11/13/17,OREILLY AUTO 2791,-40.40
513,11/22/17,GALPIN FORD- DEWEY,24.28
514,05/22/17,THUNDERBIRD MOTEL,58.76
515,07/01/17,DK MOTEL,67.79
516,09/30/17,Vacation Management Se PORT,350.29
517,11/15/17,PAYPAL VACATONFRBO,9.95
518,11/16/17,PAYPAL VACATONFRBO,9.95
519,02/01/17,MEDICAL DIAGNOSTIC IMA,20.66
520,02/27/17,SHS HONORHEALTH,49.48
521,03/15/17,GARY ORESKOVICH DDS,350.00
522,04/05/17,GARY ORESKOVICH DDS,146.50
523,04/08/17,SUNCOAST DENTAL,185.00
524,05/17/17,DR I ROBERT MATLOFF,149.40
525,05/18/17,WESTGATE PERIODONTICS,151.40
526,06/30/17,GARY ORESKOVICH DDS,12.40
527,07/01/17,DEER VALLEY MEDICAL,15.00
528,12/09/17,SHS HONORHEALTH,15.00
529,12/12/17,ARIZONA FOOTANKLE C,25.00
530,12/15/17,ARIZONA DIGESTIVE HEAL,25.00
531,01/30/17,CVSPHARMACY 09777,9.15
532,02/02/17,CVSPHARMACY 00017,0.79
533,02/14/17,CVSPHARMACY 00017,5.13
534,02/15/17,CVSPHARMACY 00017,15.09
535,03/17/17,CVSPHARMACY 00017,4.64
536,04/08/17,CVSPHARMACY 00017,5.78
537,04/24/17,CVSPHARMACY 09777,5.73
538,05/15/17,CVSPHARMACY 00017,20.22
